date,BTC-USD,fng_value,confidence
2021-05-15,46760.1875,27,0.8533
2021-05-16,46456.05859375,20,0.8415
2021-05-17,43537.51171875,27,0.8236
2021-05-18,42909.40234375,21,0.8008
2021-05-19,37002.44140625,23,0.7875
2021-05-20,40782.73828125,11,0.7528
2021-05-21,37304.69140625,19,0.7643
2021-05-22,37536.6328125,12,0.7464
2021-05-23,34770.58203125,14,0.7369
2021-05-24,38705.98046875,10,0.728
2021-05-25,38402.22265625,22,0.7446
2021-05-26,39294.19921875,22,0.739
2021-05-27,38436.96875,27,0.7435
2021-05-28,35697.60546875,21,0.7228
2021-05-29,34616.06640625,18,0.7022
2021-05-30,35678.12890625,10,0.6957
2021-05-31,37332.85546875,18,0.7075
2021-06-01,36684.92578125,20,0.7159
2021-06-02,37575.1796875,23,0.7257
2021-06-03,39208.765625,24,0.7223
2021-06-04,36894.40625,27,0.7188
2021-06-05,35551.95703125,24,0.7018
2021-06-06,35862.37890625,17,0.6983
2021-06-07,33560.70703125,15,0.6905
2021-06-08,33472.6328125,13,0.6803
2021-06-09,37345.12109375,14,0.673
2021-06-10,36702.59765625,21,0.6954
2021-06-11,37334.3984375,21,0.6845
2021-06-12,35552.515625,28,0.694
2021-06-13,39097.859375,23,0.6896
2021-06-14,40218.4765625,28,0.7061
2021-06-15,40406.26953125,38,0.7186
2021-06-16,38347.0625,33,0.72
2021-06-17,38053.50390625,26,0.71
2021-06-18,35787.24609375,25,0.6973
2021-06-19,35615.87109375,23,0.6683
2021-06-20,35698.296875,21,0.6695
2021-06-21,31676.693359375,23,0.6648
2021-06-22,32505.66015625,10,0.631
2021-06-23,33723.02734375,14,0.6282
2021-06-24,34662.4375,22,0.6432
2021-06-25,31637.779296875,27,0.6453
2021-06-26,32186.27734375,20,0.6202
2021-06-27,34649.64453125,22,0.6018
2021-06-28,34434.3359375,25,0.6306
2021-06-29,35867.77734375,25,0.6385
2021-06-30,35040.8359375,28,0.6464
2021-07-01,33572.1171875,28,0.6475
2021-07-02,33897.046875,21,0.6256
2021-07-03,34668.546875,24,0.6396
2021-07-04,35287.78125,27,0.6457
2021-07-05,33746.00390625,29,0.6552
